time,p
3.8292,9999.99999999988
3.8293,9999.99999999986
3.8294,9999.99999999984
3.8295,9999.99999999981
3.8296,9999.99999999979
3.8297,9999.99999999979
3.8298,9999.99999999977
3.8299,9999.99999999977
3.83,9999.99999999977
3.8301,9999.99999999977
3.8302,9999.99999999977
3.8303,9999.99999999976
3.8304,9999.99999999975
3.8305,9999.99999999977
3.8306,9999.99999999977
3.8307,9999.99999999979
3.8308,9999.99999999977
3.8309,9999.99999999979
3.831,9999.99999999981
3.8311,9999.99999999983
3.8312,9999.99999999984
3.8313,9999.99999999985
3.8314,9999.99999999987
3.8315,9999.99999999988
3.8316,9999.99999999989
3.8317,9999.9999999999
3.8318,9999.99999999991
3.8319,9999.99999999992
3.832,9999.99999999993
3.8321,9999.99999999994
3.8322,9999.99999999995
3.8323,9999.99999999997
3.8324,9999.99999999998
3.8325,9999.99999999999
3.8326,10000
3.8327,10000
3.8328,10000
3.8329,10000
3.833,10000.0000000001
3.8331,10000.0000000001
3.8332,10000.0000000001
3.8333,10000.0000000001
3.8334,10000.0000000001
3.8335,10000.0000000002
3.8336,10000.0000000002
3.8337,10000.0000000002
3.8338,10000.0000000002
3.8339,10000.0000000002
3.834,10000.0000000002
3.8341,10000.0000000002
3.8342,10000.0000000002
3.8343,10000.0000000002
3.8344,10000.0000000002
3.8345,10000.0000000002
3.8346,10000.0000000002
3.8347,10000.0000000002
3.8348,10000.0000000002
3.8349,10000.0000000002
3.835,10000.0000000002
3.8351,10000.0000000002
3.8352,10000.0000000002
3.8353,10000.0000000002
3.8354,10000.0000000001
3.8355,10000.0000000001
3.8356,10000.0000000001
3.8357,10000.0000000001
3.8358,10000.0000000001
3.8359,10000.0000000001
3.836,10000.0000000001
3.8361,10000.0000000001
3.8362,10000.0000000001
3.8363,10000
3.8364,10000
3.8365,10000
3.8366,10000
3.8367,10000
3.8368,9999.99999999999
3.8369,9999.99999999997
3.837,9999.99999999996
3.8371,9999.99999999994
3.8372,9999.99999999993
3.8373,9999.99999999991
3.8374,9999.99999999989
3.8375,9999.99999999987
3.8376,9999.99999999985
3.8377,9999.99999999983
3.8378,9999.99999999981
3.8379,9999.99999999979
3.838,9999.9999999998
3.8381,9999.99999999978
3.8382,9999.99999999978
3.8383,9999.99999999978
3.8384,9999.99999999978
3.8385,9999.99999999977
3.8386,9999.99999999977
3.8387,9999.99999999976
3.8388,9999.99999999977
3.8389,9999.99999999977
3.839,9999.99999999979
3.8391,9999.99999999978
3.8392,9999.9999999998
3.8393,9999.99999999981
3.8394,9999.99999999983
3.8395,9999.99999999984
3.8396,9999.99999999986
3.8397,9999.99999999987
3.8398,9999.99999999988
3.8399,9999.99999999989
3.84,9999.99999999991
3.8401,9999.99999999991
3.8402,9999.99999999993
3.8403,9999.99999999994
3.8404,9999.99999999995
3.8405,9999.99999999996
3.8406,9999.99999999997
3.8407,9999.99999999998
3.8408,9999.99999999999
3.8409,10000
3.841,10000
3.8411,10000
3.8412,10000
3.8413,10000.0000000001
3.8414,10000.0000000001
3.8415,10000.0000000001
3.8416,10000.0000000001
3.8417,10000.0000000001
3.8418,10000.0000000001
3.8419,10000.0000000002
3.842,10000.0000000002
3.8421,10000.0000000002
3.8422,10000.0000000002
3.8423,10000.0000000002
3.8424,10000.0000000002
3.8425,10000.0000000002
3.8426,10000.0000000002
3.8427,10000.0000000002
3.8428,10000.0000000002
3.8429,10000.0000000002
3.843,10000.0000000002
3.8431,10000.0000000002
3.8432,10000.0000000002
3.8433,10000.0000000002
3.8434,10000.0000000002
3.8435,10000.0000000002
3.8436,10000.0000000002
3.8437,10000.0000000002
3.8438,10000.0000000002
3.8439,10000.0000000001
3.844,10000.0000000001
3.8441,10000.0000000001
3.8442,10000.0000000001
3.8443,10000.0000000001
3.8444,10000.0000000001
3.8445,10000.0000000001
3.8446,10000.0000000001
3.8447,10000.0000000001
3.8448,10000
3.8449,10000
3.845,10000
3.8451,10000
3.8452,10000
3.8453,9999.99999999998
3.8454,9999.99999999997
3.8455,9999.99999999995
3.8456,9999.99999999993
3.8457,9999.99999999991
3.8458,9999.99999999989
3.8459,9999.99999999987
3.846,9999.99999999985
3.8461,9999.99999999983
3.8462,9999.9999999998
3.8463,9999.99999999978
3.8464,9999.99999999979
3.8465,9999.99999999977
3.8466,9999.99999999977
3.8467,9999.99999999976
3.8468,9999.99999999976
3.8469,9999.99999999976
3.847,9999.99999999975
3.8471,9999.99999999977
3.8472,9999.99999999976
3.8473,9999.99999999978
3.8474,9999.99999999977
3.8475,9999.99999999979
3.8476,9999.99999999981
3.8477,9999.99999999982
3.8478,9999.99999999983
3.8479,9999.99999999984
3.848,9999.99999999985
3.8481,9999.99999999987
3.8482,9999.99999999988
3.8483,9999.99999999989
3.8484,9999.9999999999
3.8485,9999.99999999991
3.8486,9999.99999999992
3.8487,9999.99999999993
3.8488,9999.99999999995
3.8489,9999.99999999996
3.849,9999.99999999997
3.8491,9999.99999999998
3.8492,9999.99999999999
3.8493,10000
3.8494,10000
3.8495,10000
3.8496,10000
3.8497,10000.0000000001
3.8498,10000.0000000001
3.8499,10000.0000000001
3.85,10000.0000000001
3.8501,10000.0000000001
3.8502,10000.0000000002
3.8503,10000.0000000002
3.8504,10000.0000000002
3.8505,10000.0000000002
3.8506,10000.0000000002
3.8507,10000.0000000002
3.8508,10000.0000000002
3.8509,10000.0000000002
3.851,10000.0000000002
3.8511,10000.0000000002
3.8512,10000.0000000002
3.8513,10000.0000000002
3.8514,10000.0000000002
3.8515,10000.0000000002
3.8516,10000.0000000002
3.8517,10000.0000000002
3.8518,10000.0000000002
3.8519,10000.0000000002
3.852,10000.0000000001
3.8521,10000.0000000001
3.8522,10000.0000000001
3.8523,10000.0000000001
3.8524,10000.0000000001
3.8525,10000.0000000001
3.8526,10000.0000000001
3.8527,10000.0000000001
3.8528,10000.0000000001
3.8529,10000
3.853,10000
3.8531,10000
3.8532,10000
3.8533,10000
3.8534,9999.99999999999
3.8535,9999.99999999998
3.8536,9999.99999999996
3.8537,9999.99999999995
3.8538,9999.99999999993
