time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.146,0.0068,0.0046,-0.9766,0.1176,0.859,-0.046685915583,0.015118681718,0.031567233865,6.8,4.6
11.147,0.0068,0.0046,-0.7453,-0.2877,1.033,-0.03973663433,-0.002892674873,0.042629309203,6.8,4.6
11.148,0.0068,0.0046,-0.4057,-0.6511,1.0568,-0.027009245561,-0.02048333704,0.0474925826,6.8,4.6
11.149,0.0068,0.0046,-0.0071,-0.9198,0.9269,-0.010354468265,-0.035095433328,0.045449901593,6.8,4.6
11.15,0.0068,0.0046,0.3925,-1.0548,0.6623,0.007805898626,-0.044604215264,0.036798316638,6.8,4.6
11.151,0.0068,0.0046,0.7351,-1.0364,0.3013,0.024831133281,-0.047627017822,0.022795884541,6.8,4.6
11.152,0.0068,0.0046,0.9708,-0.8673,-0.1035,0.038245581502,-0.043724312863,0.005478731361,6.8,4.6
11.153,0.0068,0.0046,1.0653,-0.5721,-0.4932,0.046098644432,-0.033463619703,-0.012635024729,6.8,4.6
11.154,0.0068,0.0046,1.0049,-0.1937,-0.8112,0.047248416579,-0.01833697908,-0.028911437499,6.8,4.6
11.155,0.0068,0.0046,0.7984,0.2129,-1.0113,0.041527729724,-0.000543991361,-0.040983738362,6.8,4.6
11.156,0.0068,0.0046,0.4758,0.5885,-1.0643,0.029768459021,0.017328031565,-0.047096490586,6.8,4.6
11.157,0.0068,0.0046,0.084,0.8786,-0.9625,0.013680557074,0.032680291903,-0.046360848977,6.8,4.6
11.158,0.0068,0.0046,-0.32,1.0409,-0.7208,-0.00439659504,0.043280401601,-0.038883806562,6.8,4.6
11.159,0.0068,0.0046,-0.6775,1.0518,-0.3743,-0.021834362545,0.047586996732,-0.025752634187,6.8,4.6
11.16,0.0068,0.0046,-0.9365,0.9098,0.0267,-0.036097091694,0.044973868157,-0.008876776463,6.8,4.6
11.161,0.0068,0.0046,-1.0593,0.6355,0.4238,-0.045110823406,0.035821017907,0.009289805499,6.8,4.6
11.162,0.0068,0.0046,-1.028,0.2688,0.7592,-0.047564870826,0.021459400421,0.026105470405,6.8,4.6
11.163,0.0068,0.0046,-0.8473,-0.137,0.9843,-0.043102407376,0.003977383685,0.039125023691,6.8,4.6
11.164,0.0068,0.0046,-0.5433,-0.5229,1.0662,-0.032372351365,-0.01408292641,0.046455277775,6.8,4.6
11.165,0.0068,0.0046,-0.1604,-0.8327,0.9931,-0.016935003257,-0.030095339808,0.047030343065,6.8,4.6
11.166,0.0068,0.0046,0.2459,-1.0215,0.7756,0.000964842692,-0.041731462521,0.040766619828,6.8,4.6
11.167,0.0068,0.0046,0.6164,-1.0617,0.4453,0.018724320829,-0.047299273478,0.028574952649,6.8,4.6
11.168,0.0068,0.0046,0.8973,-0.9476,0.0503,0.033760983833,-0.045989163697,0.012228179864,6.8,4.6
11.169,0.0068,0.0046,1.0477,-0.6956,-0.3521,0.043888322317,-0.03799166157,-0.005896660746,6.8,4.6
11.17,0.0068,0.0046,1.0458,-0.3425,-0.7033,0.047633710172,-0.024469725855,-0.023163984317,6.8,4.6
11.171,0.0068,0.0046,0.8918,0.0604,-0.9522,0.044452541416,-0.00738963444,-0.037062906976,6.8,4.6
11.172,0.0068,0.0046,0.6081,0.4545,-1.0626,0.034807420701,0.010764939046,-0.045572359748,6.8,4.6
11.173,0.0068,0.0046,0.236,0.7826,-1.0186,0.020100892708,0.02735408413,-0.047454976838,6.8,4.6
11.174,0.0068,0.0046,-0.1704,0.9968,-0.8264,0.002471492102,0.039965530854,-0.042437022957,6.8,4.6
11.175,0.0068,0.0046,-0.5521,1.0661,-0.514,-0.015517228749,0.046765424551,-0.031248195802,6.8,4.6
11.176,0.0068,0.0046,-0.8534,0.9804,-0.1269,-0.031249474472,0.046764990921,-0.015515516449,6.8,4.6
11.177,0.0068,0.0046,-1.0307,0.7521,0.2786,-0.042437577759,0.03996431498,0.002473262779,6.8,4.6
11.178,0.0068,0.0046,-1.0581,0.4144,0.6437,-0.047454655495,0.027352326548,0.020102328947,6.8,4.6
11.179,0.0068,0.0046,-0.9316,0.0165,0.9151,-0.04557117805,0.010762994875,0.034808183175,6.8,4.6
11.18,0.0068,0.0046,-0.6697,-0.3838,1.0535,-0.037061050515,-0.007391357138,0.044452407654,6.8,4.6
11.181,0.0068,0.0046,-0.3103,-0.7283,1.0387,-0.023161780931,-0.024470838053,0.047632618984,6.8,4.6
11.182,0.0068,0.0046,0.0941,-0.9669,0.8728,-0.005894528209,-0.037991864083,0.043886392292,6.8,4.6
11.183,0.0068,0.0046,0.4849,-1.0649,0.58,0.012229803608,-0.045988305903,0.033758502295,6.8,4.6
11.184,0.0068,0.0046,0.8052,-1.0081,0.2029,0.028575686436,-0.047297389619,0.018721703183,6.8,4.6
11.185,0.0068,0.0046,1.0083,-0.8046,-0.2037,0.040766210041,-0.041728777934,0.000962567893,6.8,4.6
11.186,0.0068,0.0046,1.0649,-0.4842,-0.5807,0.047028717112,-0.030092246165,-0.016936470947,6.8,4.6
11.187,0.0068,0.0046,0.9666,-0.0933,-0.8733,0.046452571262,-0.01407992747,-0.032372643792,6.8,4.6
11.188,0.0068,0.0046,0.7277,0.3111,-1.0389,0.039121574227,0.003979749039,-0.043101323266,6.8,4.6
